Date,Case Count
12-07-2020,1258214
12-08-2020,1272504
12-09-2020,1283674
12-10-2020,1296132
12-11-2020,1307878
12-12-2020,1321578
12-13-2020,1328213
12-14-2020,1337096
12-15-2020,1352489
12-16-2020,1367965
12-17-2020,1371223
12-18-2020,1384476
12-19-2020,1398281
12-20-2020,1404675
12-21-2020,1413684
12-22-2020,1431416
12-23-2020,1451256
12-24-2020,1464556
12-25-2020,1467898
12-26-2020,1470154
12-27-2020,1476674
12-28-2020,1490479
12-29-2020,1518499
12-30-2020,1536265
12-31-2020,1551250
01-01-2021,1563758
01-02-2021,1568034
01-03-2021,1582615
01-04-2021,1598713
01-05-2021,1626568
01-06-2021,1646382
01-07-2021,1666487
01-08-2021,1684271
01-09-2021,1703634
01-10-2021,1716824
01-11-2021,1730312
01-12-2021,1753059
01-13-2021,1774358
01-14-2021,1794545
01-15-2021,1816535
01-16-2021,1837552
01-17-2021,1853521
01-18-2021,1864249
01-19-2021,1872614
01-20-2021,1898549
01-21-2021,1917513
01-22-2021,1935747
01-23-2021,1949885
01-24-2021,1960061
01-25-2021,1965585
01-26-2021,1988063
01-27-2021,2003135
01-28-2021,2018127
01-29-2021,2033353
01-30-2021,2048935
01-31-2021,2059143
02-01-2021,2087170
02-02-2021,2106729
02-03-2021,2120299
02-04-2021,2132595
02-05-2021,2143353
02-06-2021,2154678
02-07-2021,2160098
02-08-2021,2166919
02-09-2021,2177572
02-10-2021,2187850
02-11-2021,2196882
02-12-2021,2206982
02-13-2021,2215885
02-14-2021,2221955
02-15-2021,2225399
02-16-2021,2229008
02-17-2021,2231717
02-18-2021,2234506
02-19-2021,2236776
02-20-2021,2241808
02-21-2021,2245634
02-22-2021,2251388
02-23-2021,2259407
02-24-2021,2264763
02-25-2021,2269845
02-26-2021,2275486
02-27-2021,2284059
02-28-2021,2287135
03-01-2021,2292097
03-02-2021,2297878
03-03-2021,2304081
03-04-2021,2309124
03-05-2021,2314187
03-06-2021,2318522
03-07-2021,2320857
03-08-2021,2322728
03-09-2021,2326885
03-10-2021,2330216
03-11-2021,2333796
03-12-2021,2338763
03-13-2021,2342740
03-14-2021,2345024
03-15-2021,2346924
03-16-2021,2351382
03-17-2021,2355666
03-18-2021,2359556
03-19-2021,2362234
03-20-2021,2364745
03-21-2021,2366494
03-22-2021,2368222
03-23-2021,2371653
03-24-2021,2374938
03-25-2021,2377275
03-26-2021,2381859
03-27-2021,2384271
03-28-2021,2386312
03-29-2021,2388650
03-30-2021,2391860
03-31-2021,2395313
04-01-2021,2397828
04-02-2021,2400470
04-03-2021,2401898
04-04-2021,2403393
04-05-2021,2404297
04-06-2021,2408440
04-07-2021,2412115
04-08-2021,2415822
04-09-2021,2418286
04-10-2021,2420581
04-11-2021,2422139
04-12-2021,2423630
04-13-2021,2428867
04-14-2021,2431276
04-15-2021,2434200
04-16-2021,2436571
04-17-2021,2438385
04-18-2021,2439892
04-19-2021,2440986
04-20-2021,2444933
04-21-2021,2448662
04-22-2021,2451130
04-23-2021,2453803
04-24-2021,2455715
04-25-2021,2456905
04-26-2021,2458625
04-27-2021,2461831
04-28-2021,2464876
04-29-2021,2467456
04-30-2021,2470095
05-01-2021,2472718
05-02-2021,2473679
05-03-2021,2474902
05-04-2021,2478241
05-05-2021,2480166
05-06-2021,2481873
05-07-2021,2484044
05-08-2021,2485695
05-09-2021,2486826
05-10-2021,2487480
05-11-2021,2490481
05-12-2021,2492365
05-13-2021,2494065
05-14-2021,2496002
05-15-2021,2497468
05-16-2021,2497892
05-17-2021,2498217
05-18-2021,2501376
05-19-2021,2503036
05-20-2021,2504484
05-21-2021,2505622
05-22-2021,2507412
05-23-2021,2508007
05-24-2021,2508550
05-25-2021,2511712
05-26-2021,2513424
05-27-2021,2514409
05-28-2021,2515922
05-29-2021,2516781
05-30-2021,2517141
05-31-2021,2517276
06-01-2021,2517398
06-02-2021,2518828
06-03-2021,2520151
06-04-2021,2522016
06-05-2021,2523617
06-06-2021,2524212
06-07-2021,2524688
06-08-2021,2525991
06-09-2021,2527350
06-10-2021,2529068
06-11-2021,2530176
06-12-2021,2530658
06-13-2021,2530910
06-14-2021,2531194
06-15-2021,2532112
06-16-2021,2533123
06-17-2021,2534149
06-18-2021,2534730
06-19-2021,2536217
06-20-2021,2536646
06-21-2021,2536691
06-22-2021,2538120
06-23-2021,2538908
06-24-2021,2540318
06-25-2021,2541586
06-26-2021,2542877
06-27-2021,2543158
06-28-2021,2543253
06-29-2021,2544966
06-30-2021,2546040
07-01-2021,2547411
07-02-2021,2548878
07-03-2021,2549911
07-04-2021,2550317
07-05-2021,2550524
07-06-2021,2551193
07-07-2021,2552507
07-08-2021,2555413
07-09-2021,2557272
07-10-2021,2559101
07-11-2021,2559643
07-12-2021,2560046
07-13-2021,2562797
07-14-2021,2565034
07-15-2021,2568577
07-16-2021,2571693
07-17-2021,2574433
07-18-2021,2576284
07-19-2021,2577197
07-20-2021,2580592
07-21-2021,2584324
07-22-2021,2590934
07-23-2021,2596610
07-24-2021,2601663
07-25-2021,2603725
07-26-2021,2605142
07-27-2021,2611808
07-28-2021,2621979
07-29-2021,2628258
07-30-2021,2641702
07-31-2021,2652783
08-01-2021,2654872
08-02-2021,2658660
08-03-2021,2670535
08-04-2021,2686339
08-05-2021,2697312
08-06-2021,2706267
08-07-2021,2723255
08-08-2021,2728670
08-09-2021,2730883
08-10-2021,2744957
08-11-2021,2759325
08-12-2021,2771471
08-13-2021,2782130
08-14-2021,2804145
08-15-2021,2808388
08-16-2021,2813831
08-17-2021,2834135
08-18-2021,2855024
08-19-2021,2865433
08-20-2021,2879074
08-21-2021,2905584
08-22-2021,2909355
08-23-2021,2914188
08-24-2021,2929797
08-25-2021,2948801
08-26-2021,2962616
08-27-2021,2975003
08-28-2021,2988190
08-29-2021,2991219
08-30-2021,2999659
08-31-2021,3022678
09-01-2021,3039912
09-02-2021,3057285
09-03-2021,3076823
09-04-2021,3091046
09-05-2021,3098118
09-06-2021,3101054
09-07-2021,3107042
09-08-2021,3133016
09-09-2021,3156901
09-10-2021,3176127
09-11-2021,3185834
09-12-2021,3189853
09-13-2021,3198035
09-14-2021,3215654
09-15-2021,3236353
09-16-2021,3251554
09-17-2021,3265735
09-18-2021,3277168
09-19-2021,3279440
09-20-2021,3283786
09-21-2021,3294624
09-22-2021,3309458
09-23-2021,3318001
09-24-2021,3327873
09-25-2021,3337783
09-26-2021,3342535
09-27-2021,3347504
09-28-2021,3359034
09-29-2021,3368887
09-30-2021,3377737
10-01-2021,3386176
10-02-2021,3392081
10-03-2021,3394815
10-04-2021,3397223
10-05-2021,3404816
10-06-2021,3415430
10-07-2021,3421910
10-08-2021,3428193
10-09-2021,3432757
10-10-2021,3434366
10-11-2021,3436593
10-12-2021,3444234
10-13-2021,3451823
10-14-2021,3456606
10-15-2021,3461663
10-16-2021,3466352
10-17-2021,3466998
10-18-2021,3468881
10-19-2021,3474092
10-20-2021,3478389
10-21-2021,3481769
10-22-2021,3486088
10-23-2021,3489282
10-24-2021,3490573
10-25-2021,3492166
10-26-2021,3496557
10-27-2021,3500581
10-28-2021,3504021
10-29-2021,3507864
10-30-2021,3511050
10-31-2021,3511739
11-01-2021,3512551
11-02-2021,3515803
11-03-2021,3519737
11-04-2021,3522412
11-05-2021,3525080
