State,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
Texas,07/16/21,-7,1,4,-6,-34,7
Texas,07/17/21,-9,-1,12,-1,-12,1
Texas,07/18/21,-4,-2,2,0,-10,1
Texas,07/19/21,-8,-2,-8,-9,-36,8
Texas,07/20/21,-5,1,7,-7,-35,8
Texas,07/21/21,-4,3,10,-6,-34,8
Texas,07/22/21,-5,2,19,-7,-35,7
Texas,07/23/21,-8,0,7,-6,-34,7
Texas,07/24/21,-11,-1,8,-2,-11,1
Texas,07/25/21,-6,-3,-4,-1,-10,1
Texas,07/26/21,-7,0,-3,-9,-35,7
Texas,07/27/21,-6,0,3,-8,-35,8
Texas,07/28/21,-4,3,7,-7,-33,8
Texas,07/29/21,-4,3,20,-7,-35,7
Texas,07/30/21,-8,2,0,-7,-34,7
Texas,07/31/21,-10,1,2,-3,-11,2
Texas,08/01/21,-7,-2,-16,-3,-11,2
Texas,08/02/21,-6,1,-11,-10,-35,8
Texas,08/03/21,-4,4,2,-8,-35,8
Texas,08/04/21,-4,4,6,-8,-33,8
Texas,08/05/21,-5,3,14,-9,-34,8
Texas,08/06/21,-8,1,0,-9,-33,7
Texas,08/07/21,-10,0,2,-4,-11,2
Texas,08/08/21,-5,-1,-9,-3,-10,2
Texas,08/09/21,-6,1,-6,-11,-34,7
Texas,08/10/21,-5,3,-1,-11,-35,8
Texas,08/11/21,-5,5,3,-11,-33,7
Texas,08/12/21,-6,4,8,-10,-34,7
Texas,08/13/21,-8,2,-4,-10,-33,6
Texas,08/14/21,-10,1,-5,-7,-12,3
Texas,08/15/21,-5,0,-20,-7,-11,3
Texas,08/16/21,-5,2,-11,-11,-34,6
Texas,08/17/21,-6,3,-10,-13,-35,7
Texas,08/18/21,-7,3,-12,-12,-31,7
Texas,08/19/21,-7,3,5,-12,-32,7
Texas,08/20/21,-9,1,-7,-11,-30,6
Texas,08/21/21,-10,0,-5,-10,-11,3
Texas,08/22/21,-6,0,-17,-10,-11,3
Texas,08/23/21,-9,1,-11,-14,-32,6
Texas,08/24/21,-9,1,-4,-15,-32,6
Texas,08/25/21,-7,4,-2,-13,-30,6
Texas,08/26/21,-8,3,5,-13,-31,6
Texas,08/27/21,-9,0,-10,-14,-28,6
Texas,08/28/21,-11,0,-4,-13,-11,4
Texas,08/29/21,-7,-1,-15,-12,-11,4
Texas,08/30/21,-9,1,-11,-16,-30,7
Texas,08/31/21,-6,4,-5,-14,-30,7
Texas,09/01/21,-4,7,-3,-11,-28,6
Texas,09/02/21,-5,5,6,-10,-29,6
Texas,09/03/21,-6,5,-5,-6,-28,5
Texas,09/04/21,-10,2,4,-8,-17,3
Texas,09/05/21,-5,0,9,-15,-15,2
Texas,09/06/21,-9,-1,4,-22,-71,18
Texas,09/07/21,-9,3,-4,-10,-29,6
Texas,09/08/21,-8,4,0,-13,-26,6
Texas,09/09/21,-8,3,10,-14,-27,6
Texas,09/10/21,-9,0,-3,-14,-24,5
Texas,09/11/21,-11,-1,8,-12,-10,3
Texas,09/12/21,-8,0,-10,-11,-11,4
Texas,09/13/21,-12,4,-21,-19,-29,8
Texas,09/14/21,-13,-5,-12,-23,-36,11
Texas,09/15/21,-4,4,3,-13,-26,6
Texas,09/16/21,-5,2,13,-12,-27,6
Texas,09/17/21,-7,0,-1,-12,-26,4
Texas,09/18/21,-8,-1,10,-11,-12,2
Texas,09/19/21,-7,-3,-12,-10,-13,3
Texas,09/20/21,-9,-1,-7,-14,-26,6
Texas,09/21/21,-8,-1,2,-16,-26,6
Texas,09/22/21,-6,2,12,-13,-23,5
Texas,09/23/21,-6,1,26,-11,-24,5
Texas,09/24/21,-7,-1,7,-10,-23,4
Texas,09/25/21,-9,-2,21,-10,-11,1
Texas,09/26/21,-7,-3,0,-7,-11,2
Texas,09/27/21,-9,-1,-4,-13,-25,5
Texas,09/28/21,-10,-3,-7,-15,-25,6
Texas,09/29/21,-7,2,-2,-14,-23,6
Texas,09/30/21,-6,2,8,-11,-24,5
Texas,10/01/21,-7,1,-14,-11,-23,6
Texas,10/02/21,-7,0,4,-12,-12,3
Texas,10/03/21,-6,-2,-7,-8,-11,3
Texas,10/04/21,-7,1,-1,-12,-24,5
Texas,10/05/21,-6,1,11,-13,-25,5
Texas,10/06/21,-6,3,14,-10,-23,5
Texas,10/07/21,-5,2,26,-7,-24,5
Texas,10/08/21,-6,0,15,-7,-26,5
Texas,10/09/21,-8,-1,28,-4,-12,1
Texas,10/10/21,-7,-4,5,-6,-12,2
Texas,10/11/21,-6,0,11,-8,-34,8
Texas,10/12/21,-9,0,-1,-10,-25,6
Texas,10/13/21,-8,1,-3,-12,-23,6
Texas,10/14/21,-6,1,5,-9,-24,6
Texas,10/15/21,-5,0,3,-7,-23,4
Texas,10/16/21,-5,-1,26,-5,-11,0
Texas,10/17/21,-5,-2,4,-4,-12,2
Texas,10/18/21,-7,0,-3,-10,-24,5
Texas,10/19/21,-6,0,3,-12,-24,5
Texas,10/20/21,-5,2,6,-9,-22,5
Texas,10/21/21,-4,1,17,-8,-23,4
Texas,10/22/21,-6,0,2,-7,-22,3
Texas,10/23/21,-7,-2,15,-6,-11,1
Texas,10/24/21,-4,-2,-6,-4,-12,2
Texas,10/25/21,-7,0,-5,-9,-23,5
Texas,10/26/21,-6,1,-2,-10,-23,5
Texas,10/27/21,-5,2,-10,-12,-22,7
Texas,10/28/21,-2,4,8,-9,-22,4
Texas,10/29/21,-5,2,-3,-7,-21,3
Texas,10/30/21,-6,3,14,-7,-11,0
Texas,10/31/21,-4,3,10,-7,-12,1
Texas,11/01/21,-7,1,-6,-10,-24,5
Texas,11/02/21,-7,1,-3,-11,-24,6
Texas,11/03/21,-9,1,-29,-14,-22,8
