State,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
Texas,06/14/20,-14,-4,11,-25,-13,4
Texas,06/15/20,-12,-4,13,-27,-35,11
Texas,06/16/20,-11,-2,21,-26,-36,12
Texas,06/17/20,-10,1,27,-25,-35,12
Texas,06/18/20,-11,-1,35,-25,-37,12
Texas,06/19/20,-14,0,17,-24,-37,10
Texas,06/20/20,-17,2,12,-22,-13,5
Texas,06/21/20,-19,-3,-7,-27,-13,4
Texas,06/22/20,-18,-10,-4,-29,-39,13
Texas,06/23/20,-15,-6,0,-28,-40,14
Texas,06/24/20,-13,-3,12,-27,-37,13
Texas,06/25/20,-15,-5,18,-28,-39,14
Texas,06/26/20,-20,-5,-1,-28,-38,14
Texas,06/27/20,-24,-6,3,-24,-15,7
Texas,06/28/20,-23,-11,-11,-29,-14,7
Texas,06/29/20,-17,-8,4,-28,-38,13
Texas,06/30/20,-13,-4,9,-28,-40,13
Texas,07/01/20,-11,1,14,-24,-39,13
Texas,07/02/20,-10,3,22,-23,-42,13
Texas,07/03/20,-15,7,13,-29,-56,17
Texas,07/04/20,-36,-6,0,-35,-30,9
Texas,07/05/20,-28,-17,-23,-32,-22,7
Texas,07/06/20,-17,-8,-6,-29,-43,14
Texas,07/07/20,-17,-6,3,-27,-42,15
Texas,07/08/20,-16,-4,12,-27,-40,14
Texas,07/09/20,-16,-5,19,-27,-41,14
Texas,07/10/20,-20,-6,2,-29,-40,14
Texas,07/11/20,-24,-6,-6,-25,-16,7
Texas,07/12/20,-22,-10,-15,-30,-18,7
Texas,07/13/20,-18,-8,-7,-30,-41,13
Texas,07/14/20,-16,-6,4,-29,-42,14
Texas,07/15/20,-15,-3,7,-28,-40,14
Texas,07/16/20,-16,-5,15,-28,-41,14
Texas,07/17/20,-20,-6,1,-28,-40,14
Texas,07/18/20,-23,-7,1,-25,-16,7
Texas,07/19/20,-21,-10,-8,-29,-19,6
Texas,07/20/20,-18,-10,-3,-29,-41,13
Texas,07/21/20,-17,-8,1,-30,-42,14
Texas,07/22/20,-16,-6,7,-29,-39,14
Texas,07/23/20,-16,-6,20,-28,-40,13
Texas,07/24/20,-19,-5,0,-29,-39,13
Texas,07/25/20,-27,-11,-13,-30,-20,9
Texas,07/26/20,-24,-15,-18,-32,-21,7
Texas,07/27/20,-17,-11,-3,-30,-41,13
Texas,07/28/20,-18,-10,-5,-32,-41,14
Texas,07/29/20,-15,-7,6,-29,-40,13
Texas,07/30/20,-15,-6,19,-27,-41,13
Texas,07/31/20,-16,-5,4,-26,-40,12
Texas,08/01/20,-21,-5,-1,-23,-17,6
Texas,08/02/20,-18,-9,-5,-25,-18,5
Texas,08/03/20,-14,-7,0,-27,-40,12
Texas,08/04/20,-13,-6,8,-28,-40,12
Texas,08/05/20,-13,-5,15,-28,-39,12
Texas,08/06/20,-15,-6,23,-26,-40,12
Texas,08/07/20,-17,-6,6,-26,-39,12
Texas,08/08/20,-20,-6,8,-22,-16,5
Texas,08/09/20,-17,-9,-6,-25,-17,5
Texas,08/10/20,-16,-10,1,-28,-40,11
Texas,08/11/20,-15,-8,7,-28,-40,12
Texas,08/12/20,-14,-6,8,-28,-39,12
Texas,08/13/20,-16,-7,14,-27,-40,12
Texas,08/14/20,-18,-7,0,-26,-39,11
Texas,08/15/20,-20,-6,0,-21,-17,5
Texas,08/16/20,-18,-10,-13,-25,-18,5
Texas,08/17/20,-18,-11,-6,-28,-40,11
Texas,08/18/20,-17,-10,0,-29,-39,12
Texas,08/19/20,-16,-8,7,-28,-37,12
Texas,08/20/20,-16,-9,16,-27,-39,11
Texas,08/21/20,-18,-8,2,-26,-37,11
Texas,08/22/20,-20,-6,1,-22,-16,5
Texas,08/23/20,-17,-9,-6,-24,-16,5
Texas,08/24/20,-18,-10,-6,-28,-37,11
Texas,08/25/20,-15,-3,1,-26,-39,11
Texas,08/26/20,-16,-4,0,-30,-40,13
Texas,08/27/20,-19,-15,15,-31,-42,13
Texas,08/28/20,-19,-12,-5,-26,-36,11
Texas,08/29/20,-20,-9,-1,-21,-15,5
Texas,08/30/20,-18,-12,-14,-25,-17,5
Texas,08/31/20,-17,-12,-7,-27,-37,10
Texas,09/01/20,-15,-9,-5,-27,-38,11
Texas,09/02/20,-14,-8,-3,-27,-36,11
Texas,09/03/20,-13,-6,8,-22,-37,11
Texas,09/04/20,-15,-7,-5,-21,-37,10
Texas,09/05/20,-18,-6,4,-20,-20,4
Texas,09/06/20,-14,-8,11,-25,-19,3
Texas,09/07/20,-15,-9,17,-32,-70,18
Texas,09/08/20,-17,-10,-5,-25,-39,11
Texas,09/09/20,-19,-11,-15,-28,-36,11
Texas,09/10/20,-16,-10,5,-27,-37,10
Texas,09/11/20,-17,-10,6,-26,-34,9
Texas,09/12/20,-17,-7,16,-20,-14,3
Texas,09/13/20,-16,-9,-2,-24,-16,4
Texas,09/14/20,-17,-12,1,-27,-33,9
Texas,09/15/20,-15,-9,7,-27,-34,10
Texas,09/16/20,-15,-9,7,-26,-33,10
Texas,09/17/20,-16,-11,16,-26,-34,10
Texas,09/18/20,-16,-9,6,-24,-32,9
Texas,09/19/20,-16,-6,21,-19,-14,3
Texas,09/20/20,-17,-10,-6,-25,-16,4
Texas,09/21/20,-21,-15,-29,-31,-36,12
Texas,09/22/20,-22,-15,-28,-34,-39,15
Texas,09/23/20,-17,-10,-9,-29,-33,12
Texas,09/24/20,-16,-11,6,-26,-33,10
Texas,09/25/20,-16,-10,-3,-26,-31,9
Texas,09/26/20,-17,-7,10,-21,-12,3
Texas,09/27/20,-16,-10,-7,-24,-14,4
Texas,09/28/20,-18,-12,-9,-28,-32,10
Texas,09/29/20,-15,-10,1,-27,-32,10
Texas,09/30/20,-13,-6,2,-24,-32,9
Texas,10/01/20,-12,-6,11,-23,-31,8
Texas,10/02/20,-14,-6,-1,-23,-30,8
Texas,10/03/20,-15,-4,13,-18,-14,3
Texas,10/04/20,-14,-8,-3,-22,-16,3
Texas,10/05/20,-17,-9,-7,-25,-33,9
Texas,10/06/20,-16,-8,-1,-26,-33,9
Texas,10/07/20,-16,-7,2,-25,-31,9
Texas,10/08/20,-16,-8,9,-24,-32,9
Texas,10/09/20,-17,-8,-7,-24,-32,10
Texas,10/10/20,-17,-6,11,-19,-13,3
Texas,10/11/20,-16,-9,-5,-22,-15,4
Texas,10/12/20,-16,-10,0,-25,-38,10
Texas,10/13/20,-16,-9,6,-25,-33,9
Texas,10/14/20,-14,-7,6,-24,-30,9
Texas,10/15/20,-14,-7,10,-23,-31,9
Texas,10/16/20,-15,-8,-6,-23,-30,9
Texas,10/17/20,-16,-7,7,-18,-14,3
Texas,10/18/20,-15,-9,-6,-21,-16,4
Texas,10/19/20,-18,-12,-10,-25,-31,9
Texas,10/20/20,-16,-10,1,-25,-32,10
Texas,10/21/20,-15,-8,4,-24,-29,9
Texas,10/22/20,-15,-9,12,-24,-31,9
Texas,10/23/20,-17,-9,-15,-24,-30,9
Texas,10/24/20,-16,-7,1,-19,-13,3
Texas,10/25/20,-16,-10,-16,-23,-15,4
Texas,10/26/20,-20,-12,-29,-28,-31,10
Texas,10/27/20,-20,-12,-33,-30,-34,12
Texas,10/28/20,-17,-9,-29,-29,-31,12
Texas,10/29/20,-13,-7,-7,-25,-31,9
Texas,10/30/20,-13,-5,-6,-24,-29,8
Texas,10/31/20,-16,-1,3,-21,-12,2
Texas,11/01/20,-15,-9,-14,-24,-15,4
Texas,11/02/20,-17,-10,-16,-26,-30,9
Texas,11/03/20,-12,-6,-2,-27,-33,10
Texas,11/04/20,-18,-11,-10,-28,-29,10
Texas,11/05/20,-17,-10,0,-27,-30,10
Texas,11/06/20,-17,-10,-11,-26,-29,9
Texas,11/07/20,-17,-9,2,-24,-12,4
Texas,11/08/20,-16,-11,-13,-25,-15,4
Texas,11/09/20,-19,-12,-16,-28,-30,10
Texas,11/10/20,-17,-10,-12,-28,-31,10
Texas,11/11/20,-14,-7,-4,-27,-33,11
Texas,11/12/20,-17,-9,0,-27,-31,10
Texas,11/13/20,-17,-8,-12,-26,-29,9
Texas,11/14/20,-17,-8,-5,-24,-13,4
Texas,11/15/20,-15,-9,-13,-25,-15,4
Texas,11/16/20,-19,-11,-20,-28,-30,9
Texas,11/17/20,-17,-9,-14,-28,-31,10
Texas,11/18/20,-16,-7,-11,-26,-29,10
Texas,11/19/20,-17,-8,-4,-26,-31,10
Texas,11/20/20,-17,-8,-13,-24,-29,9
Texas,11/21/20,-18,-7,-9,-17,-12,5
Texas,11/22/20,-16,-9,-24,-24,-13,5
Texas,11/23/20,-12,-4,-17,-27,-39,11
Texas,11/24/20,-9,3,-16,-22,-40,11
Texas,11/25/20,2,25,-4,-17,-42,10
Texas,11/26/20,-67,-25,-7,-49,-81,23
Texas,11/27/20,-25,-20,-27,-42,-62,20
Texas,11/28/20,-30,-21,-52,-31,-23,10
Texas,11/29/20,-20,-15,-42,-20,-17,6
Texas,11/30/20,-16,-11,-33,-27,-31,10
Texas,12/01/20,-15,-8,-26,-26,-31,11
Texas,12/02/20,-17,-9,-29,-29,-29,12
Texas,12/03/20,-16,-7,-21,-28,-30,11
Texas,12/04/20,-17,-10,-23,-29,-28,10
Texas,12/05/20,-18,-10,-26,-27,-11,6
Texas,12/06/20,-15,-10,-24,-27,-12,5
Texas,12/07/20,-17,-11,-24,-30,-30,10
Texas,12/08/20,-16,-10,-17,-30,-30,10
Texas,12/09/20,-15,-7,-10,-29,-28,10
Texas,12/10/20,-15,-7,-5,-28,-30,10
Texas,12/11/20,-18,-9,-30,-30,-29,11
Texas,12/12/20,-16,-5,-16,-23,-10,5
Texas,12/13/20,-23,-14,-53,-31,-16,7
Texas,12/14/20,-16,-8,-34,-30,-30,10
Texas,12/15/20,-15,-7,-35,-30,-32,11
Texas,12/16/20,-12,-3,-27,-27,-29,11
Texas,12/17/20,-12,-4,-15,-25,-31,10
Texas,12/18/20,-14,-6,-25,-22,-30,10
Texas,12/19/20,-18,-6,-35,-13,-12,6
Texas,12/20/20,-11,-6,-22,-17,-11,4
Texas,12/21/20,-4,0,-9,-23,-40,10
Texas,12/22/20,-1,7,-8,-20,-41,10
Texas,12/23/20,6,23,-11,-16,-42,10
Texas,12/24/20,-11,29,-23,-34,-62,16
Texas,12/25/20,-78,-55,-26,-56,-83,27
Texas,12/26/20,-27,-17,-21,-28,-26,9
Texas,12/27/20,-22,-19,-17,-21,-17,6
Texas,12/28/20,-14,-10,-15,-28,-45,14
Texas,12/29/20,-13,-5,-12,-27,-45,14
Texas,12/30/20,-11,1,-34,-28,-45,15
Texas,12/31/20,-16,11,-45,-37,-54,18
Texas,01/01/21,-41,-32,-36,-52,-75,27
Texas,01/02/21,-23,-14,-26,-25,-22,9
Texas,01/03/21,-20,-15,-23,-20,-15,7
Texas,01/04/21,-14,-9,-19,-26,-35,11
Texas,01/05/21,-15,-7,-18,-27,-34,12
